"menu_id","menu_page_id","name","sponsor","event","venue","place","physical_description","occasion","notes","call_number","date","location","currency","currency_symbol","status","page_count","dish_count"
12475,168,"","HOTEL MANHATTAN","DINNER","COMMERCIAL","NEW YORK NY","CARD; ILLUS; 6X9.5;","","A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;","1900-2847","1900-04-18","HOTEL MANHATTAN","DOLLARS","$","COMPLETE",2,176
12475,167,"","HOTEL MANHATTAN","DINNER","COMMERCIAL","NEW YORK NY","CARD; ILLUS; 6X9.5;","","A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;","1900-2847","1900-04-18","HOTEL MANHATTAN","DOLLARS","$","COMPLETE",2,176
12510,274,"","HOTEL MARIE ANTOINETTE","DINNER","COMMERCIAL","66 ST  BWAY NY","BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;","DAILY","","1900-1173","1900-02-20","HOTEL MARIE ANTOINETTE","DOLLARS","$","COMPLETE",2,128
12510,275,"","HOTEL MARIE ANTOINETTE","DINNER","COMMERCIAL","66 ST  BWAY NY","BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;","DAILY","","1900-1173","1900-02-20","HOTEL MARIE ANTOINETTE","DOLLARS","$","COMPLETE",2,128
12526,346,"","UNION HOTEL & RESTAURANT","DINNER","COMMERCIAL","","BROADSIDE; ILLUS; 5.5X10;","OTHER DAILY","A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;","1900-2139","1900-02-26","UNION HOTEL  RESTAURANT","DOLLARS","$","COMPLETE",2,71
12526,345,"","UNION HOTEL & RESTAURANT","DINNER","COMMERCIAL","","BROADSIDE; ILLUS; 5.5X10;","OTHER DAILY","A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;","1900-2139","1900-02-26","UNION HOTEL  RESTAURANT","DOLLARS","$","COMPLETE",2,71
12534,364,"","PABST BLUE RIBBON","DINNER","COMMERCIAL","PABST BLUE RIBBON","CARD; ILLUS; COL; 5.25X7.75;","","LOGO OF PABST BLUE RIBBON;","1900-2381","1900-03-11","PABST BLUE RIBBON","DOLLARS","$","COMPLETE",2,52
12534,363,"","PABST BLUE RIBBON","DINNER","COMMERCIAL","PABST BLUE RIBBON","CARD; ILLUS; COL; 5.25X7.75;","","LOGO OF PABST BLUE RIBBON;","1900-2381","1900-03-11","PABST BLUE RIBBON","DOLLARS","$","COMPLETE",2,52
12556,439,"","GRAND HOTEL L'D.","DINNER","COMMERCIAL","YOKOHAMA JAPAN","FOLDER; ILLUS; COL; 6.5X9.5;","","FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO","1900-4126","1900-08-21","GRAND HOTEL LD","DOLLARS","$","COMPLETE",4,152
12556,438,"","GRAND HOTEL L'D.","DINNER","COMMERCIAL","YOKOHAMA JAPAN","FOLDER; ILLUS; COL; 6.5X9.5;","","FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO","1900-4126","1900-08-21","GRAND HOTEL LD","DOLLARS","$","COMPLETE",4,152
